exam_board,course_track,subject,paper,also_on_other_paper,spec_ref,topic_name,paraphrase,ht_only,core_practical,include,review_notes
edexcel,combined,biology,paper1,yes,B1,Key concepts in biology,Ideas about cells enzymes and movement of substances that both biology papers assume.,no,no,yes,Topic 1 is assessed on paper 1 and paper 2. Split or rename sub-rows below to match your PDF numbering.
edexcel,combined,biology,paper1,yes,B1.1,Key concepts in biology,How the parts of animal plant and bacterial cells relate to what those cells do.,no,no,yes,CHECK numbering against PDF topic 1.
edexcel,combined,biology,paper1,yes,B1.2,Key concepts in biology,How specialised cells are built for a particular job.,no,no,yes,
edexcel,combined,biology,paper1,yes,B1.3,Key concepts in biology,Using light and electron microscopes and working out magnification and real size.,no,yes,yes,Map the microscopy core practical code from the PDF.
edexcel,combined,biology,paper1,yes,B1.4,Key concepts in biology,How enzymes speed up reactions and why their shape matters.,no,no,yes,
edexcel,combined,biology,paper1,yes,B1.5,Key concepts in biology,How temperature and pH change enzyme activity including a practical investigation.,no,yes,yes,
edexcel,combined,biology,paper1,yes,B1.6,Key concepts in biology,Diffusion osmosis and active transport as ways substances enter and leave cells.,no,no,yes,
edexcel,combined,biology,paper1,yes,B1.7,Key concepts in biology,Investigating osmosis in plant tissue.,no,yes,yes,
edexcel,combined,biology,paper1,no,B2,Cells and control,How cells divide grow and how the nervous system coordinates responses.,no,no,yes,Paper 1 topics 2 to 5.
edexcel,combined,biology,paper1,no,B2.1,Cells and control,Mitosis the cell cycle and why new body cells are genetically identical.,no,no,yes,
edexcel,combined,biology,paper1,no,B2.2,Cells and control,How growth is measured in animals and plants and why those patterns differ.,no,no,yes,
edexcel,combined,biology,paper1,no,B2.3,Cells and control,What stem cells are where they are found and the arguments about using them.,no,no,yes,CHECK whether embryonic vs adult stem-cell detail matches the combined PDF.
edexcel,combined,biology,paper1,no,B2.4,Cells and control,How the nervous system detects stimuli and sends impulses.,no,no,yes,
edexcel,combined,biology,paper1,no,B2.5,Cells and control,Reflex arcs synapses and how a rapid automatic response is produced.,no,no,yes,
edexcel,combined,biology,paper1,no,B2.6,Cells and control,Structure of the eye and how it focuses light.,no,no,yes,DELETE this row if the eye is not in your combined PDF.
edexcel,combined,biology,paper1,no,B3,Genetics,How genes are passed on and how DNA relates to inherited features.,no,no,yes,
edexcel,combined,biology,paper1,no,B3.1,Genetics,Meiosis and why gametes are haploid and genetically varied.,no,no,yes,
edexcel,combined,biology,paper1,no,B3.2,Genetics,The structure of DNA genes and the genome.,no,no,yes,
edexcel,combined,biology,paper1,no,B3.3,Genetics,How the genetic code is used to build proteins.,yes,no,yes,Mark HT only if your PDF puts protein synthesis in higher tier.
edexcel,combined,biology,paper1,no,B3.4,Genetics,Genetic diagrams for single-gene crosses including dominant and recessive alleles.,no,no,yes,
edexcel,combined,biology,paper1,no,B3.5,Genetics,How sex is inherited in humans.,no,no,yes,
edexcel,combined,biology,paper1,no,B3.6,Genetics,Genetic and environmental causes of variation.,no,no,yes,
edexcel,combined,biology,paper1,no,B4,Natural selection and genetic modification,How species change over time and how people change organisms.,no,no,yes,
edexcel,combined,biology,paper1,no,B4.1,Natural selection and genetic modification,Evidence for evolution and how natural selection changes populations.,no,no,yes,
edexcel,combined,biology,paper1,no,B4.2,Natural selection and genetic modification,How organisms are classified and why classification systems change.,no,no,yes,DELETE if classification is thin or absent in the combined PDF.
edexcel,combined,biology,paper1,no,B4.3,Natural selection and genetic modification,Selective breeding and its benefits and risks.,no,no,yes,
edexcel,combined,biology,paper1,no,B4.4,Natural selection and genetic modification,Genetic engineering including how it is done and why it is debated.,no,no,yes,
edexcel,combined,biology,paper1,no,B5,Health disease and medicines,Causes of disease how the body defends itself and how medicines are developed.,no,no,yes,
edexcel,combined,biology,paper1,no,B5.1,Health disease and medicines,What is meant by health and how lifestyle and non-communicable diseases are linked.,no,no,yes,
edexcel,combined,biology,paper1,no,B5.2,Health disease and medicines,Cardiovascular disease risk factors and ways of treating it.,no,no,yes,
edexcel,combined,biology,paper1,no,B5.3,Health disease and medicines,Pathogens how they spread and how the spread of disease can be reduced.,no,no,yes,
edexcel,combined,biology,paper1,no,B5.4,Health disease and medicines,The immune response vaccination and how immunity develops.,no,no,yes,
edexcel,combined,biology,paper1,no,B5.5,Health disease and medicines,Antibiotics how they work and why resistance develops.,no,no,yes,
edexcel,combined,biology,paper1,no,B5.6,Health disease and medicines,How new medicines are tested before they are used.,no,no,yes,
edexcel,combined,biology,paper2,no,B6,Plant structures and their functions,How plants make food move substances and respond to their surroundings.,no,no,yes,Paper 2 topics 6 to 9. Topic 1 is still assumed.
edexcel,combined,biology,paper2,no,B6.1,Plant structures and their functions,Photosynthesis as the process that builds glucose using light.,no,no,yes,
edexcel,combined,biology,paper2,no,B6.2,Plant structures and their functions,Limiting factors of photosynthesis and a practical rate investigation.,no,yes,yes,
edexcel,combined,biology,paper2,no,B6.3,Plant structures and their functions,How xylem and phloem move water minerals and sugars.,no,no,yes,
edexcel,combined,biology,paper2,no,B6.4,Plant structures and their functions,Transpiration stomata and factors that change water loss.,no,no,yes,
edexcel,combined,biology,paper2,no,B6.5,Plant structures and their functions,How plant hormones control growth and how they are used commercially.,no,no,yes,CHECK commercial uses against the combined PDF.
edexcel,combined,biology,paper2,no,B7,Animal coordination control and homeostasis,How hormones control the body and keep internal conditions steady.,no,no,yes,
edexcel,combined,biology,paper2,no,B7.1,Animal coordination control and homeostasis,Endocrine glands and how hormones travel in the blood.,no,no,yes,
edexcel,combined,biology,paper2,no,B7.2,Animal coordination control and homeostasis,The menstrual cycle fertility and hormonal contraception.,no,no,yes,
edexcel,combined,biology,paper2,no,B7.3,Animal coordination control and homeostasis,Control of blood glucose and the difference between type 1 and type 2 diabetes.,no,no,yes,
edexcel,combined,biology,paper2,no,B7.4,Animal coordination control and homeostasis,How the body keeps temperature and water balance within limits.,no,no,yes,SPLIT or DELETE if the PDF treats kidney and temperature as separate statements.
edexcel,combined,biology,paper2,no,B8,Exchange and transport in animals,How animals exchange materials and move them around the body.,no,no,yes,
